key,title,screening_groups,selected,openreview_url
ICML:62403,Lions and Muons: Optimization via Stochastic Frank-Wolfe under Heavy-Tailed Noise,T2; T7,False,https://openreview.net/forum?id=gvroXZ0HS8
ICML:62404,Convergence Rate Analysis of the AdamW-Style Shampoo: Unifying One-Sided and Two-Sided Preconditioning,T8,False,https://openreview.net/forum?id=gvWsViQBYB
ICML:62418,Imposing Boundary Conditions on Neural Operators via Learned Function Extensions,T7,False,https://openreview.net/forum?id=gnzNB7GFFo
ICML:62436,Stable Deep Reinforcement Learning via Isotropic Gaussian Representations,T6,False,https://openreview.net/forum?id=gc7Gg18ejz
ICML:62448,The Stability of Singular Distribution: A Spectral Perspective on the Two-Phase Dynamics of Language Model Pre-training,T6; T7,True,https://openreview.net/forum?id=gVPwive1z6
ICML:62508,Asymmetric Perturbation in Solving Bilinear Saddle-Point Optimization,T6,False,https://openreview.net/forum?id=fyae4jQ9Lw
ICML:62519,One LR Doesn’t Fit All: Heavy-Tail Guided Layerwise Learning Rates for LLMs,T1,True,https://openreview.net/forum?id=fs9KaJyhRO
ICML:65466,UniFast-HGR: Scalable and Efficient Maximal Correlation for Multimodal Models,T2,False,https://openreview.net/forum?id=DMYnZMaOUy
ICML:62560,LassoFlexNet: a Flexible Neural Architecture for Tabular Data,T5,False,https://openreview.net/forum?id=fY2cXSIxHO
ICML:62570,Ubiquity of Emergent Hebbian Dynamics in Regularized Learning,T7,False,https://openreview.net/forum?id=fSRmJOzMA1
ICML:62586,OLion: Approaching the Hadamard Ideal by Intersecting Spectral and L inf Implicit Biases,T6,False,https://openreview.net/forum?id=fG4nXq9Ytm
ICML:62592,Beyond Sunk Costs: Boosting LLM Pre-training Efficiency via Orthogonal Growth of Mixture-of-Experts,T4,False,https://openreview.net/forum?id=fDZZXgdx2F
ICML:62595,Hyperparameter Transfer with Mixture-of-Expert Layers,T3,True,https://openreview.net/forum?id=fD36uwJ5oV
ICML:62676,Efficient DP-SGD for LLMs with Randomized Clipping,T2,False,https://openreview.net/forum?id=eTO6G25Jbo
ICML:62695,Policy-Driven World Model Adaptation for Robust Offline Model-based Reinforcement Learning,T6,False,https://openreview.net/forum?id=eB5i7caric
ICML:62713,A Tight Theory of Error Feedback Algorithms in Distributed Optimization,T1,False,https://openreview.net/forum?id=dyRD6lBH8K
ICML:62731,Graph is a Natural Regularization: Revisiting Vector Quantization for Graph Representation Learning,T6,False,https://openreview.net/forum?id=dsPE185aHi
ICML:62991,Hugging Carbon: Quantifying the Training Carbon Emissions of AI Models at Scale,T4,False,https://openreview.net/forum?id=b8UehNjsF3
ICML:63008,Conservation Laws for Modern Neural Architectures,T6,False,https://openreview.net/forum?id=ay4Q69fAJL
ICML:63087,FedSSM: State Space Model-based Proactive Inference for Heterogeneous Multimodal Federated Learning,T6,False,https://openreview.net/forum?id=aDT1e7R9q8
ICML:63088,A Dirac-Frenkel-Onsager principle: Instantaneous residual minimization with gauge momentum for nonlinear parametrizations of PDE solutions,T8,False,https://openreview.net/forum?id=aDPbUSUCwh
